"pcon19cd","ConstituencyName","Con19","Lab19","Con17","Lab17","Con15","Lab15","Leave","Remain","hc1","hc2","hc3","hc4","oc1","oc2","oc3","ca1","ca2","ca3","ns1","ns2","ns3","ns4","he1","he2","he3","qu1","qu2","qu3","de1","de2","de3","ag1","ag2","ag3","ag4"
"E14000800","Luton North",33.4569959379182,55.1691751391204,33.0337608854189,63.8432499678263,29.9241267529539,52.2491837166146,59.1531961,40.8468039,67.4988224211022,16.2782965282203,14.9150757806655,1.30780527001191,35.7762323016819,7.52265107644565,43.1187830761132,21.5427668947937,46.0585741597628,32.3986589454435,33.6183037978352,20.4975874110675,26.9499949284917,9.19536898845145,46.1903847514326,35.9859318625123,17.8236833860552,39.46435918194,18.9969342658828,32.5591580512017,38.1258485494999,35.3190546119531,26.555096838547,26.7072271013775,8.61976613742711,46.3874599533083,18.2855468078871
"E14000801","Luton South",30.9789844047166,51.7948839863066,32.2524006676349,62.4368673184055,30.673204472238,44.201250710631,54.59717781,45.40282219,54.9845459451504,14.81626845901,28.6611391846146,1.53804641122504,31.2466270912035,8.89466712456459,49.0776627581808,31.6587352205269,42.4544963940539,25.8867683854192,29.7151855571675,18.6251534426961,26.9327580007192,10.0658408659748,46.9186785260483,36.1172626611,16.9640588128517,37.0347135089921,17.0163576374367,34.2429945629444,34.6195358877496,35.6130108423686,29.7674532698818,24.3555999273915,12.5757850789617,48.6240697041205,14.4445452895262
"E14000802","Macclesfield",52.5219522156422,32.6377930829636,52.6543539506878,36.8037269596921,52.548489858462,22.6863986451067,47.18379716,52.81620284,74.510809820447,11.6330768291193,12.1802858189813,1.6758275314523,37.017222425797,9.32942469769146,42.0227189446684,16.2574813729083,41.2849639672652,42.4575546598266,51.4977664885697,19.3498000058392,20.0811655134157,3.02472920498672,49.3373933181799,33.1903761204272,17.472230561393,29.8604277797918,19.2410275001295,47.4260707442125,51.6843776719189,30.2528398680835,18.0627824599976,19.6466097696959,6.59497362439422,46.6322854569627,27.1261311489471
"E14000803","Maidenhead",57.7426892303335,13.9524180414926,64.7641614725528,19.3358402445097,65.8304707083836,11.8726209265621,45.02570105,54.97429895,73.4227496751097,11.2988254910134,13.2162911016845,2.06213373219233,41.4192187921438,9.03317558786749,37.0742711423878,11.3993575754604,38.474364318466,50.1262781060736,56.9365813826892,18.4839412084921,15.4681545998911,3.28660860097986,53.8361010120861,32.8348236218925,13.3290753660214,26.7165019085837,17.1833708525007,50.5823627287854,56.1189711399358,29.5441728171052,14.3368560429591,22.1764763682814,6.30244669352461,47.8962366119682,23.6248403262258
"E14000804","Maidstone and The Weald",60.4102167182663,18.28173374613,56.3760465610921,22.1068507454029,45.4809038192362,10.5338932213557,55.91719647,44.08280353,68.712178287603,11.0238899555253,17.750990351666,2.51294140520573,36.4643837946873,10.8513378861156,41.0649622086665,16.9368362213527,42.0978443142878,40.9653194643595,46.1824241265332,21.2473024284973,22.6855519436173,3.3299642144945,48.3957700303854,34.9432272509196,16.661002718695,33.4134082341636,21.3750708354892,39.6518589696208,47.5077162369067,32.4665224682237,20.0257612948696,21.6096273788581,7.9102031025108,47.1883495921957,23.2918199264353
"E14000805","Makerfield",34.3749293928918,45.0846155584175,31.3276372701511,60.1815353802229,19.5409484683397,51.817451102974,64.91008795,35.08991205,74.4945301816761,14.414436413362,9.82369603438172,1.26733737058019,38.2887282672397,10.7589372924399,39.9467669466693,20.6290291072475,43.8586638015237,35.5123070912288,33.9389396210985,23.0543818999591,32.708191358866,4.43914406433147,46.3768558685159,32.4453677114519,21.1777764200322,41.7978063900811,22.6614461762417,31.9303265316367,41.3679429576089,30.5504004688416,28.0816565735495,21.4995621270443,8.17702287122462,46.7587218182929,23.5646931834382
"E14000806","Maldon",72.0203142358356,12.4246151404539,67.9474921317876,21.2760447790925,60.5931938807368,11.8430637943595,60.95603214,39.04396786,79.2918425711562,9.4184938036225,9.81342775432385,1.47623587089745,41.707748876481,9.08348086613101,36.7588179218303,12.0114394661582,37.3770938308593,50.6114667029824,47.8605898123324,22.1080045959403,21.7847567981616,2.98276522405209,47.7628748718988,35.2590740678176,16.9780510602836,38.1579308640619,22.3593531204525,35.655253837072,46.9699033092741,33.1118071632848,19.9182895274411,20.5558746354044,7.05654470308682,45.4441028413122,26.9434778201966
"E14000807","Manchester Central",14.7908737975482,70.4220773011532,14.1693483507643,77.413515687852,13.5293728353665,61.2649180472524,36.35657629,63.64342371,27.1133929361777,35.9068779321944,34.5826325573161,2.39709657431176,15.5510312472338,11.3145082765336,67.5489067894131,55.2058068513765,36.2715765247411,8.52261662388245,25.8693160106993,14.0749508373953,21.5206389740626,9.43828811616354,50.1794142608281,31.5612762979617,18.2593094412102,31.6164506034868,12.6133214126062,48.3763969602146,30.9604319730902,37.1762414800389,31.8633265468708,18.6032488125903,24.4189509104715,46.4742492145973,10.5035510623409
"E14000808","Manchester, Gorton",9.52744415759345,77.636098327534,7.30093791482602,76.3497486562357,9.66943525547966,67.0815583426545,38.21218401,61.78781599,39.1191066997519,25.5409429280397,32.7990074441687,2.5409429280397,23.4913151364764,8.47890818858561,59.9131513647643,45.2803970223325,40.6277915632754,14.0918114143921,25.2757793764988,14.1414868105516,21.89448441247,12.3896882494005,48.7967409485782,32.5752261731326,18.6280328782892,32.4948115036376,13.0704495176409,45.5048235911237,32.605459057072,33.6079404466501,33.7866004962779,23.3457436284825,20.3259051421788,45.0808467778197,11.2475044515189
"E14000809","Manchester, Withington",10.9821681290688,67.7460137748844,10.3167792246558,71.6838923920749,9.75063042869151,53.7225313212985,24.93859855,75.06140145,47.0001222942399,18.9996331172802,32.1511556805674,1.84908890791244,22.543720190779,13.0439036321389,58.0555215849334,30.3412009294362,44.8942154824508,24.764583588113,44.5814190913732,14.3746809596733,15.0561510974987,5.87417049515059,53.8402612587187,30.0639035600532,16.0958351812281,22.03182374541,11.000311997504,62.4787001703986,48.85410297175,29.3359422771187,21.8099547511312,17.8929968149014,18.0320928919889,50.6279482320687,13.446962061041
"E14000810","Mansfield",63.8970633003876,30.8038885393623,46.6375580676675,44.5301752497159,28.1567181573538,39.4189816286314,70.86291353,29.13708647,66.5687321937322,18.2491987179487,13.610665954416,1.57140313390313,34.0544871794872,11.8968126780627,42.9019764957265,25.2003205128205,43.1089743589744,31.6907051282051,31.1308405158447,21.2209189294278,36.2685503207828,5.63152096429266,41.4441062163766,34.3604617770375,24.1954320065859,46.0607621009269,20.1643104578223,28.5015447991761,36.204594017094,32.0379273504274,31.7574786324786,20.7943254264545,8.6659774472077,47.1263377558249,23.4133593705129
"E14000811","Meon Valley",63.4724396696,10.1927333585272,65.7366400944789,18.3274284027163,61.0592261732119,10.9364425624069,51.92753092,48.07246908,77.0479446523272,10.6441973779848,10.3076964492422,2.0001615204458,41.403074272485,9.02360890516058,35.3541335774087,11.0614585296255,36.6678332032196,52.2707082671548,51.2361818265217,20.2651254529609,19.8507713713438,2.53810987263581,49.7946874687024,34.6505235747749,15.5547889565227,30.6065989503519,21.6452623442141,44.2411749549085,52.4241526906614,31.3914986405362,16.1843486688023,20.5312531297642,6.95836996316615,45.0118513737578,27.4985255333118
